"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-15","0.12",",,S","83","H,,S","88",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-16","2.09",",,S","79","H,,S","83",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-17","0.31",",,S","78","H,,S","79",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-18","0.51",",,S","78","H,,S","79",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-19","0.67",",,S","82","H,,S","89",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-20","0.00",",,S","82","H,,S",,,,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-21","0.08",",,S","84","H,,S","91",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-22","0.00",",,S","85","H,,S","93",",,S","80",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-23",,,"85","H,,S","92",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-24",,,"83","H,,S","88",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-25","0.00",",,S","79","H,,S","85",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-26","0.39",",,S","81","H,,S","87",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-27","0.00",",,S","82","H,,S","92",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-28","1.89",",,S","84","H,,S","90",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-29","0.02",",,S","83","H,,S","89",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-30","1.34",",,S","83","H,,S","90",",,S","77",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-07-31","0.24",",,S","84","H,,S","91",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-01","0.08",",,S","87","H,,S","92",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-02","0.00",",,S","85","H,,S","90",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-03",,,"87","H,,S","93",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-04",,,"85","H,,S","96",",,S","81",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-05",,,"87","H,,S","95",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-06",,,"81","H,,S","88",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-07",,,"83","H,,S","92",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-08",,,"81","H,,S","89",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-09",,,"81","H,,S","88",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-10",,,"82","H,,S","88",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-11",,,"83","H,,S","101",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-12",,,"83","H,,S","90",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-13",,,"83","H,,S","92",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-14",,,"80","H,,S","92",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-15",,,"82","H,,S","92",",,S","75",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-16",,,"82","H,,S","92",",,S","76",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-17",,,"83","H,,S","92",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-18","2.24",",,S","79","H,,S",,,,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-19","0.02",",,S","83","H,,S","91",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-20","0.08",",,S","82","H,,S","90",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-21","0.12",",,S","84","H,,S","90",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-22","0.12",",,S","84","H,,S","89",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-23","0.31",",,S","84","H,,S","90",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-24","0.16",",,S","83","H,,S","91",",,S","78",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-25","0.04",",,S","86","H,,S","92",",,S","79",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-08-26","0.00",",,S","83","H,,S","89",",,S","80",",,S"
